,Assists,Demos,Goals,MMR,MVP,Playlist,Playlist ID,Ranked,Saves,Score,Shots,Timestamp,Win
0,1,0,1,934,0,Doubles,11,1,1,394,5,2020-08-25 19:55:17,1
1,0,0,0,925,0,Doubles,11,1,1,295,3,2020-08-25 20:05:04,0
2,1,0,0,1157,0,Standard,13,1,1,399,4,2020-08-25 20:13:44,0
3,0,0,0,916,0,Doubles,11,1,1,214,2,2020-08-25 20:20:12,0
4,0,0,1,916,0,Doubles,11,1,1,315,1,2020-08-25 20:33:31,1
5,0,0,0,1147,0,Standard,13,1,3,360,0,2020-08-25 20:42:19,0
6,1,0,0,1156,0,Standard,13,1,0,164,1,2020-08-25 20:49:58,1
7,0,0,0,1147,0,Standard,13,1,1,184,1,2020-08-25 20:56:56,0
8,0,0,0,1138,0,Standard,13,1,3,275,2,2020-08-25 21:03:47,0
9,0,0,1,1148,0,Standard,13,1,1,321,2,2020-08-25 21:11:21,1
10,1,0,2,1158,0,Standard,13,1,1,431,2,2020-08-25 21:18:53,1
11,0,0,0,1149,0,Standard,13,1,2,180,0,2020-08-25 21:25:49,0
12,1,0,0,1158,0,Standard,13,1,2,288,2,2020-08-25 23:14:12,1
13,0,0,1,1149,0,Standard,13,1,1,282,4,2020-08-25 23:21:08,0
14,0,0,0,1139,0,Standard,13,1,2,198,2,2020-08-25 23:28:17,0
15,1,0,1,1130,0,Standard,13,1,1,439,3,2020-08-25 23:35:56,0
16,0,0,0,1139,0,Standard,13,1,1,130,0,2020-08-25 23:43:07,1
17,1,0,0,1148,0,Standard,13,1,0,221,1,2020-08-25 23:50:20,1
18,0,0,0,1140,0,Standard,13,1,1,146,1,2020-08-25 23:58:21,0
19,0,0,1,1131,0,Standard,13,1,1,258,2,2020-08-26 00:05:49,0
20,1,0,2,906,0,Doubles,11,1,2,598,6,2020-08-26 00:13:53,0
21,0,0,1,915,0,Doubles,11,1,2,427,2,2020-08-26 00:20:23,1
22,2,0,1,905,0,Doubles,11,1,3,568,2,2020-08-26 00:29:27,0
23,0,0,0,100,0,Doubles,11,1,2,394,1,2020-08-27 21:49:31,1
24,1,0,2,923,0,Doubles,11,1,0,382,3,2020-08-27 21:57:14,1
25,0,0,2,932,1,Doubles,11,1,2,504,2,2020-08-27 22:03:35,1
26,0,0,0,941,0,Doubles,11,1,2,233,2,2020-08-27 22:26:20,0
27,1,0,1,950,1,Doubles,11,1,4,588,1,2020-08-27 22:33:01,1
28,1,0,2,950,1,Doubles,11,1,0,464,3,2020-08-27 22:39:36,1
29,0,0,0,959,0,Doubles,11,1,0,82,0,2020-08-27 22:47:55,0
30,0,0,0,1121,0,Standard,13,1,2,186,1,2020-08-27 22:54:42,0
31,0,0,3,941,0,Doubles,11,1,2,623,4,2020-08-29 11:53:07,0
32,0,0,2,932,0,Doubles,11,1,0,340,5,2020-08-29 11:59:51,0
33,1,0,1,923,0,Doubles,11,1,3,571,5,2020-08-29 12:08:03,0
34,0,0,0,1112,0,Standard,13,1,6,481,1,2020-08-29 12:15:57,0
35,0,0,0,914,0,Doubles,11,1,2,270,3,2020-08-29 12:24:39,0
36,0,0,1,1102,0,Standard,13,1,1,258,1,2020-08-29 12:29:37,0
37,0,0,1,1093,0,Standard,13,1,2,330,2,2020-08-29 12:38:05,0
38,0,0,1,1103,0,Standard,13,1,0,150,2,2020-08-29 12:40:44,1
39,0,0,1,1093,0,Standard,13,1,0,204,1,2020-08-29 12:47:21,0
40,1,0,1,1102,1,Standard,13,1,1,329,2,2020-08-29 12:52:27,1
41,0,0,1,1093,0,Standard,13,1,2,487,3,2020-08-29 13:04:18,0
42,0,0,3,1102,1,Standard,13,1,1,521,3,2020-08-29 13:11:34,1
43,0,0,0,1093,0,Standard,13,1,1,197,1,2020-08-29 13:20:26,0
44,1,0,1,1102,0,Standard,13,1,1,380,2,2020-08-30 19:02:27,1
45,1,0,2,923,1,Doubles,11,1,1,460,5,2020-08-30 19:08:43,1
46,2,0,0,932,0,Doubles,11,1,0,272,3,2020-08-30 19:15:08,1
47,0,0,0,1093,0,Standard,13,1,1,167,2,2020-08-30 19:23:11,0
48,1,0,0,923,0,Doubles,11,1,2,284,1,2020-08-30 19:30:18,0
49,1,0,1,1084,0,Standard,13,1,0,390,6,2020-08-30 20:56:00,0
50,0,0,1,1075,0,Standard,13,1,1,238,1,2020-08-30 21:03:42,0
51,1,0,0,914,0,Doubles,11,1,3,447,4,2020-08-30 21:10:27,0
52,1,0,4,923,1,Doubles,11,1,0,563,4,2020-08-30 21:15:01,1
53,0,0,0,914,0,Doubles,11,1,2,276,2,2020-08-30 21:22:52,0
54,2,0,2,923,1,Doubles,11,1,0,530,3,2020-08-30 21:30:40,1
55,1,0,0,1056,0,Standard,13,1,1,278,1,2020-08-30 21:41:31,0
56,0,0,2,932,0,Doubles,11,1,4,734,4,2020-08-30 21:51:06,1
57,0,0,1,941,0,Doubles,11,1,0,328,5,2020-08-30 21:58:34,1
58,1,0,2,932,0,Doubles,11,1,4,799,3,2020-08-30 22:08:10,0
59,0,0,0,1047,0,Standard,13,1,0,80,1,2020-08-30 22:14:51,0
60,1,0,1,932,1,Doubles,11,1,1,484,3,2020-08-31 13:42:44,1
61,0,0,0,1029,0,Standard,13,1,1,250,2,2020-08-31 13:49:42,0
62,1,0,1,923,0,Doubles,11,1,3,520,3,2020-08-31 13:56:42,0
63,1,0,0,932,0,Doubles,11,1,0,236,0,2020-08-31 14:06:34,1
64,2,0,1,932,0,Doubles,11,1,3,590,2,2020-08-31 14:17:20,1
65,1,0,2,942,1,Doubles,11,1,2,582,5,2020-08-31 14:24:50,1
66,0,0,4,950,1,Doubles,11,1,1,625,6,2020-08-31 14:30:09,1
67,1,0,2,960,0,Doubles,11,1,0,460,7,2020-08-31 14:37:10,1
68,0,0,4,969,1,Doubles,11,1,1,745,5,2020-08-31 14:43:39,1
69,0,0,1,1020,0,Standard,13,1,0,220,1,2020-08-31 15:25:03,0
70,1,0,3,1029,1,Standard,13,1,0,551,3,2020-08-31 15:32:58,1
71,2,0,2,978,0,Doubles,11,1,0,478,2,2020-08-31 15:41:05,1
72,1,0,0,1038,0,Standard,13,1,1,254,1,2020-08-31 15:48:59,1
73,0,0,0,969,0,Doubles,11,1,2,296,2,2020-08-31 15:56:07,0
74,1,0,2,960,0,Doubles,11,1,2,525,1,2020-08-31 16:04:04,0
75,1,0,1,950,0,Doubles,11,1,1,375,2,2020-08-31 18:32:40,0
76,0,0,0,1028,0,Standard,13,1,2,208,1,2020-08-31 18:40:01,0
77,0,0,1,941,0,Doubles,11,1,1,354,4,2020-08-31 18:46:45,0
78,1,0,0,1037,0,Standard,13,1,1,308,0,2020-08-31 18:55:10,1
79,0,0,3,950,1,Doubles,11,1,1,679,6,2020-08-31 19:03:35,1
80,0,0,1,1046,0,Standard,13,1,1,258,1,2020-08-31 19:11:26,1
81,1,0,0,941,0,Doubles,11,1,1,350,1,2020-08-31 19:19:37,0
82,0,0,2,950,0,Doubles,11,1,0,416,4,2020-08-31 19:26:38,1
83,0,0,0,1037,0,Standard,13,1,0,122,3,2020-08-31 19:33:48,0
84,0,0,0,1028,0,Standard,13,1,2,198,0,2020-08-31 23:12:21,0
85,0,0,0,941,0,Doubles,11,1,0,148,2,2020-08-31 23:19:35,0
86,0,0,3,950,1,Doubles,11,1,0,515,3,2020-08-31 23:25:20,1
87,0,0,2,941,0,Doubles,11,1,0,436,7,2020-08-31 23:32:25,0
88,1,0,1,932,0,Doubles,11,1,1,412,5,2020-08-31 23:41:13,0
89,0,0,2,923,0,Doubles,11,1,1,460,5,2020-08-31 23:49:46,0
90,1,0,3,932,1,Doubles,11,1,3,817,4,2020-08-31 23:57:22,1
91,1,0,2,942,1,Doubles,11,1,1,388,3,2020-09-01 00:02:04,1
92,0,0,3,950,1,Doubles,11,1,1,538,3,2020-09-01 00:08:51,1
93,1,0,2,941,0,Doubles,11,1,4,913,6,2020-09-01 00:22:21,0
94,1,0,3,950,0,Doubles,11,1,2,681,4,2020-09-01 00:29:42,1
95,0,0,0,1018,0,Standard,13,1,0,104,4,2020-09-01 00:35:50,0
96,0,0,5,941,0,Doubles,11,1,0,735,6,2020-09-01 12:23:51,0
97,1,0,2,933,0,Doubles,11,1,1,472,4,2020-09-01 12:31:33,0
98,0,0,0,1009,0,Standard,13,1,0,46,0,2020-09-01 12:36:23,0
99,0,0,3,942,0,Doubles,11,1,0,407,3,2020-09-01 12:43:37,1
